platform,external_track_id,artist_name_en,track_name,source_file,match_status,observed_artist_name,observed_track_name,first_seen,last_seen,notes
line,mt0000000000b10ba6,BIGBANG,FANTASTIC BABY,artist_master.csv,confirmed,BIGBANG,FANTASTIC BABY,2026-07-26,2026-07-26,
line,mt000000000325ce2d,BIGBANG,BANG BANG BANG,artist_master.csv,confirmed,BIGBANG,BANG BANG BANG,2026-07-26,2026-07-26,
line,mt000000000c4b6892,BLACKPINK,AS IF IT'S YOUR LAST,artist_master.csv,confirmed,BLACKPINK,AS IF IT'S YOUR LAST,2026-07-26,2026-07-26,
line,mt000000000d69ec17,TWICE,What is Love?,artist_master.csv,confirmed,TWICE,What is Love?,2026-07-26,2026-07-26,
line,mt000000000efca410,BTS,Boy With Luv (feat. Halsey),artist_master.csv,confirmed,BTS,Boy With Luv (feat. Halsey),2026-07-26,2026-07-26,
line,mt000000000fd1f738,TWICE,Feel Special,artist_master.csv,confirmed,TWICE,Feel Special,2026-07-26,2026-07-26,
line,mt0000000011b5bfa8,BTS,Dynamite,artist_master.csv,confirmed,BTS,Dynamite,2026-07-26,2026-07-26,
line,mt0000000013eda145,BTS,Butter,artist_master.csv,confirmed,BTS,Butter,2026-07-26,2026-07-26,
line,mt000000001444c205,BTS,Permission to Dance,artist_master.csv,confirmed,BTS,Permission to Dance,2026-07-26,2026-07-26,
line,mt0000000018d0aa99,NewJeans,Ditto,artist_master.csv,confirmed,NewJeans,Ditto,2026-07-26,2026-07-26,
line,mt0000000018ee521e,NewJeans,OMG,artist_master.csv,confirmed,NewJeans,OMG,2026-07-26,2026-07-26,
line,mt000000001b45753e,,Seven (Clean Ver.),,unmatched,"Jung Kook, Latto",Seven (Clean Ver.),2026-07-26,2026-07-26,
line,mt000000001c8d2174,LE SSERAFIM,Perfect Night,artist_master.csv,confirmed,LE SSERAFIM,Perfect Night,2026-07-26,2026-07-26,
line,mt000000001e7d77b9,ILLIT,Magnetic,artist_master.csv,confirmed,ILLIT,Magnetic,2026-07-26,2026-07-26,
line,mt000000001ef56c73,aespa,Supernova,artist_master.csv,confirmed,aespa,Supernova,2026-07-26,2026-07-26,
line,mt000000001fd20a7f,LE SSERAFIM,CRAZY,artist_master.csv,confirmed,LE SSERAFIM,CRAZY,2026-07-26,2026-07-26,
line,mt00000000205e6e5d,,APT.,,unmatched,ROSÉ & Bruno Mars,APT.,2026-07-26,2026-07-26,
line,mt00000000205fc729,aespa,Whiplash,artist_master.csv,confirmed,aespa,Whiplash,2026-07-26,2026-07-26,
line,mt000000002074b8de,BABYMONSTER,DRIP,artist_master.csv,confirmed,BABYMONSTER,DRIP,2026-07-26,2026-07-26,
line,mt00000000213c4c04,ILLIT,Almond Chocolate,artist_master.csv,confirmed,ILLIT,Almond Chocolate,2026-07-26,2026-07-26,
line,mt0000000022bce001,ILLIT,jellyous,artist_master.csv,confirmed,ILLIT,jellyous,2026-07-26,2026-07-26,
line,mt0000000022c60f60,Hearts2Hearts,STYLE,artist_master.csv,confirmed,Hearts2Hearts,STYLE,2026-07-26,2026-07-26,
line,mt0000000022c8e685,,Golden,,unmatched,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,2026-07-26,2026-07-26,
line,mt000000002301529b,BLACKPINK,JUMP,artist_master.csv,confirmed,BLACKPINK,JUMP,2026-07-26,2026-07-26,
line,mt0000000023037f5a,TWICE,THIS IS FOR,artist_master.csv,confirmed,TWICE,THIS IS FOR,2026-07-26,2026-07-26,
line,mt0000000023b62003,BABYMONSTER,WE GO UP,artist_master.csv,confirmed,BABYMONSTER,WE GO UP,2026-07-26,2026-07-26,
line,mt0000000023b62004,BABYMONSTER,PSYCHO,artist_master.csv,confirmed,BABYMONSTER,PSYCHO,2026-07-26,2026-07-26,
line,mt0000000023da7c09,LE SSERAFIM,SPAGHETTI (feat. j-hope of BTS),artist_master.csv,confirmed,LE SSERAFIM,SPAGHETTI (feat. j-hope of BTS),2026-07-26,2026-07-26,
line,mt0000000024b6122d,IVE,BANG BANG,other_agency_master.csv,confirmed,IVE,BANG BANG,2026-07-26,2026-07-26,
line,mt00000000251173d2,YENA,Catch Catch,other_agency_master.csv,confirmed,YENA,Catch Catch,2026-07-26,2026-07-26,
line,mt00000000251e014f,BTS,Body to Body,artist_master.csv,confirmed,BTS,Body to Body,2026-07-26,2026-07-26,
line,mt00000000251e0150,BTS,Hooligan,artist_master.csv,confirmed,BTS,Hooligan,2026-07-26,2026-07-26,
line,mt00000000251e0153,BTS,2.0,artist_master.csv,confirmed,BTS,2.0,2026-07-26,2026-07-26,
line,mt00000000251e0155,BTS,SWIM,artist_master.csv,confirmed,BTS,SWIM,2026-07-26,2026-07-26,
