date,feed_updated,country,rank,track_name,artist_name_local,apple_artist_id,apple_track_id,release_date,artwork_url,is_kpop_genre,agency,sub_agency,artist_name_master
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,1,Pop Off Pop Off,키키,1795471746,6797774239,2026-08-10,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/78/84/f3/7884f392-c186-f234-fc2a-7a7b5edeb9ba/cover_KM0025032_1.jpg/300x300bb.jpg,1,OTHER,Starship Entertainment,KiiiKiii
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,2,SUN KISS,튜이드,6795782852,6795782855,2026-08-24,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/f2/a0/02/f2a00270-a846-b0aa-65b3-91bc94442e10/823375310600_Cover.jpg/300x300bb.jpg,1,HYBE,ABD,TUIDE
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,3,FALLEN ANGEL,제니,913944,6805292681,2026-08-28,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/42/03/45/420345e1-6e68-915e-fe8a-74c78b120280/cover_KM0025132_1.jpg/300x300bb.jpg,1,,,
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,4,GRLS,튜이드,6795782852,6795782863,2026-08-24,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/f2/a0/02/f2a00270-a846-b0aa-65b3-91bc94442e10/823375310600_Cover.jpg/300x300bb.jpg,1,HYBE,ABD,TUIDE
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,5,REDRED,코르티스,1831651635,1887671067,2026-04-20,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/9b/5f/47/9b5f4711-dc78-2dea-6721-d06709ea5121/198704992810_Cover.jpg/300x300bb.jpg,1,HYBE,BIGHIT MUSIC,CORTIS
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,6,LOVE ATTACK,리센느,1732658659,1764485170,2024-08-27,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/43/0b/4c/430b4c8e-3cb8-da27-648f-435ec3b391a6/8804775334160.jpg/300x300bb.jpg,1,OTHER,THE MUZE Entertainment,RESCENE
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,7,Lemon Tang,Hearts2Hearts,1793698498,6779521286,2026-06-22,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/00/a4/c1/00a4c1fb-c2c9-83c9-af2e-44cb5da80bc4/888735956140.png/300x300bb.jpg,1,SM,SM Entertainment,Hearts2Hearts
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,8,LEMONADE,aespa,1540251304,1893599773,2026-05-28,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/00/1d/e6/001de64e-c2f1-fd4b-3604-3d2e16641968/888735955211.png/300x300bb.jpg,1,SM,SM Entertainment,aespa
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,9,Deja Vu,리센느,1732658659,1822439986,2025-07-02,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/e3/4e/e4/e34ee4d9-47a3-8b51-b6cc-4d991508f0b5/cover_KM0023041_1.jpg/300x300bb.jpg,1,OTHER,THE MUZE Entertainment,RESCENE
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,10,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,966309175,1445949267,2018-10-19,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/4b/30/2c/4b302cb6-7a14-5464-4e97-0577e9d0be49/18UMGIM82277.rgb.jpg/300x300bb.jpg,0,,,
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,11,Pretty Girl,리센느,1732658659,6786111946,2026-07-08,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/44/70/65/44706599-2480-efab-7cfe-564b5e254b25/888272184075_Cover.jpg/300x300bb.jpg,1,OTHER,THE MUZE Entertainment,RESCENE
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,12,BAD,에이티즈,1439301205,6770401926,2026-06-26,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/15/5e/a0/155ea070-3f0d-84ae-7883-128ecd9ed5bf/196874257944.jpg/300x300bb.jpg,1,OTHER,KQ Entertainment,ATEEZ
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,13,Surfin' Boy,레드벨벳,906961899,6794291725,2026-08-03,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/bc/cd/10/bccd1053-e9f5-cbff-1cfd-23f83b726c99/888735956256.png/300x300bb.jpg,1,SM,SM Entertainment,Red Velvet
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,14,BiiiG,BIGBANG,318754656,6801365250,2026-08-19,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/c5/d9/3a/c5d93ab5-12ac-3800-c13d-e57b819b6d89/8809519881443_cover.png/300x300bb.jpg,1,YG,YG Entertainment,BIGBANG
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,15,Bloody Paradise,엔하이픈,1541011620,6802251495,2026-08-21,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/ca/33/21/ca3321d1-ae6a-d703-7b59-d2ed90455551/823375359418_Cover.jpg/300x300bb.jpg,1,HYBE,BELIFT LAB,ENHYPEN
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,16,RUDE!,Hearts2Hearts,1793698498,1875146815,2026-02-20,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/78/b9/fb/78b9fb30-169a-eab0-38e9-8df725f8f2d6/888735954603.png/300x300bb.jpg,1,SM,SM Entertainment,Hearts2Hearts
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,17,Less than a Lover,제니,913944,6792226270,2026-07-24,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/a0/8a/84/a08a8464-c3d8-04aa-84a0-9498a52985dd/196874620281.jpg/300x300bb.jpg,1,,,
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,18,It's Me,아일릿,1734551937,1887194026,2026-04-30,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/db/56/04/db5604ab-c7f4-b982-8c76-98ee766ac294/823375069195_Cover.jpg/300x300bb.jpg,1,HYBE,BELIFT LAB,ILLIT
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,19,Candy Pink Magic Hole Flip Phone,키키,1795471746,6797774242,2026-08-10,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/78/84/f3/7884f392-c186-f234-fc2a-7a7b5edeb9ba/cover_KM0025032_1.jpg/300x300bb.jpg,1,OTHER,Starship Entertainment,KiiiKiii
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,20,404 (New Era),키키,1795471746,1868617347,2026-01-26,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/1b/43/f5/1b43f5d0-0a3b-d1e1-bc0a-e572e92e0455/199806885123.jpg/300x300bb.jpg,1,OTHER,Starship Entertainment,KiiiKiii
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,21,없어,Shane,1572242646,6799878518,2026-08-18,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d8/06/bc/d806bc48-0b66-a4d4-80e1-5ee29d652c71/8800388636516_cover.jpg/300x300bb.jpg,0,,,
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,22,hate that i made you love me,Ariana Grande,412778295,6763656876,2026-05-28,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/7e/e6/82/7ee682bd-1b17-6adc-be63-b5af1bdff369/26UMGIM51126.rgb.jpg/300x300bb.jpg,0,,,
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,23,Pinball,리센느,1732658659,1764485172,2024-08-27,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/43/0b/4c/430b4c8e-3cb8-da27-648f-435ec3b391a6/8804775334160.jpg/300x300bb.jpg,1,OTHER,THE MUZE Entertainment,RESCENE
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,24,노스탈지아,BIG Naughty,1478391105,6805367598,,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/d9/e1/62/d9e162a7-7125-6cd0-2df5-a4a3c909c285/cover_KM0025140_1.jpg/300x300bb.jpg,1,,,
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,25,0+0,한로로,1613668993,1828393595,2025-08-04,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/c8/a4/c6/c8a4c64f-89b3-9ef2-473f-4ad423a03c5b/887928030421.jpg/300x300bb.jpg,1,,,
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,26,Ling Ling,검정치마,365442996,1644821665,2022-09-15,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/33/f1/f3/33f1f3d4-c3b9-6528-cc99-ee7215dc1d12/TEEN_TROUBLES.jpg/300x300bb.jpg,1,,,
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,27,한시 오분 (1:05),검정치마,365442996,1242155573,2017-05-30,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/be/ce/5c/bece5cff-2caf-6d8a-9c21-3035537d2a4d/Album_cover_1400X1400.jpg/300x300bb.jpg,1,,,
2026-09-01,"Tue, 1 Sep 2026 00:10:30 +0000",kr,28,HEAVEN,제니,913944,6805292682,2026-08-28,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/42/03/45/420345e1-6e68-915e-fe8a-74c78b120280/cover_KM0025132_1.jpg/300x300bb.jpg,1,,,
